date,symbol,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-12-19,GOOGL,191.63,193.03,188.38,188.51,188.29,32265241,32265241,-3.12,-1.63,190.3875,"December 19, 24",-0.0163
2024-12-20,GOOGL,185.78,192.89,185.22,191.41,191.19,63462934,63462934,5.63,3.03,188.825,"December 20, 24",0.0303
2024-12-23,GOOGL,192.62,195.1,190.15,194.63,194.41,25675014,25675014,2.01,1.04,193.125,"December 23, 24",0.0104
2024-12-24,GOOGL,194.84,196.11,193.78,196.11,195.88,10403300,10403300,1.27,0.65182,195.21,"December 24, 24",0.0065182
2024-12-26,GOOGL,195.15,196.75,194.38,195.6,195.37,12057210,12057210,0.45,0.23059,195.47,"December 26, 24",0.0023059
2024-12-27,GOOGL,194.95,195.32,190.65,192.76,192.54,18891400,18891400,-2.19,-1.12,193.42,"December 27, 24",-0.0112
2024-12-30,GOOGL,189.8,192.55,189.12,191.24,191.02,14264700,14264700,1.44,0.75869,190.6775,"December 30, 24",0.0075869
2024-12-31,GOOGL,191.08,191.96,188.51,189.3,189.08,17466919,17466919,-1.77,-0.93155,190.2125,"December 31, 24",-0.0093155
2025-01-02,GOOGL,190.65,192.0,187.5,189.43,189.21,20370828,20370828,-1.22,-0.63992,189.895,"January 02, 25",-0.0063992
2025-01-03,GOOGL,191.37,193.21,189.98,191.79,191.57,18596200,18596200,0.42,0.21947,191.5875,"January 03, 25",0.0021947
2025-01-06,GOOGL,193.98,198.22,193.85,196.87,196.64,29563638,29563638,2.89,1.49,195.73,"January 06, 25",0.0149
2025-01-07,GOOGL,197.11,201.0,194.6,195.49,195.27,26487244,26487244,-1.62,-0.82188,197.05,"January 07, 25",-0.0082188
2025-01-08,GOOGL,192.57,196.29,192.38,193.95,193.73,24864800,24864800,1.38,0.71662,193.7975,"January 08, 25",0.0071662
2025-01-10,GOOGL,194.3,196.52,190.31,192.04,191.82,26665206,26665206,-2.25,-1.16,193.2925,"January 10, 25",-0.0116
2025-01-13,GOOGL,190.07,191.18,187.36,191.01,190.79,21823700,21823700,0.94,0.49455,189.905,"January 13, 25",0.0049455
2025-01-14,GOOGL,191.24,191.98,188.31,189.66,189.44,17174900,17174900,-1.58,-0.82619,190.2975,"January 14, 25",-0.0082619
2025-01-15,GOOGL,193.09,196.36,191.86,195.55,195.33,21776000,21776000,2.46,1.27,194.215,"January 15, 25",0.0127
2025-01-16,GOOGL,194.14,195.48,192.81,192.91,192.69,17815432,17815432,-1.23,-0.63356,193.835,"January 16, 25",-0.0063356
2025-01-17,GOOGL,196.53,197.23,193.75,196.0,195.77,27735100,27735100,-0.53,-0.26968,195.8775,"January 17, 25",-0.0026968
2025-01-21,GOOGL,199.07,202.29,197.87,198.05,197.82,29971300,29971300,-1.02,-0.51238,199.32,"January 21, 25",-0.0051238
2025-01-22,GOOGL,199.06,200.48,197.53,198.37,198.14,26200617,26200617,-0.69,-0.34663,198.86,"January 22, 25",-0.0034663
2025-01-23,GOOGL,198.14,200.3,195.2,197.98,197.75,26951400,26951400,-0.16,-0.08075098,197.905,"January 23, 25",-0.0008075098
2025-01-24,GOOGL,198.1,200.9,198.0,200.21,199.98,23877521,23877521,2.11,1.07,199.3025,"January 24, 25",0.0107
2025-01-27,GOOGL,192.41,196.88,190.73,191.81,191.59,41728900,41728900,-0.6,-0.31183,192.9575,"January 27, 25",-0.0031183
2025-01-28,GOOGL,192.75,195.48,190.68,195.3,195.08,24157929,24157929,2.56,1.32,193.5525,"January 28, 25",0.0132
2025-01-29,GOOGL,195.56,196.79,193.43,195.41,195.19,18218300,18218300,-0.145,-0.0767028,195.2975,"January 29, 25",-0.000767028
2025-01-30,GOOGL,198.0,201.4,197.67,200.87,200.64,24354700,24354700,2.87,1.45,199.485,"January 30, 25",0.0145
2025-01-31,GOOGL,202.0,205.48,201.8,204.02,203.79,32042000,32042000,2.02,1.0,203.325,"January 31, 25",0.01
2025-02-03,GOOGL,200.69,203.75,200.1,201.23,201.0,27838348,27838348,0.54,0.26907,201.4425,"February 03, 25",0.0026907
2025-02-04,GOOGL,203.39,207.05,202.81,206.38,206.14,43856425,43856425,2.99,1.47,204.9075,"February 04, 25",0.0147
2025-02-05,GOOGL,191.07,192.75,188.03,191.33,191.11,70461770,70461770,0.26,0.13608,190.795,"February 05, 25",0.0013608
2025-02-06,GOOGL,189.5,192.1,188.72,191.6,191.38,29297442,29297442,2.1,1.11,190.48,"February 06, 25",0.0111
2025-02-07,GOOGL,191.05,191.18,183.24,185.34,185.13,49315000,49315000,-5.71,-2.99,187.7025,"February 07, 25",-0.0299
2025-02-10,GOOGL,187.35,188.2,185.86,186.47,186.26,23105649,23105649,-0.88,-0.46971,186.97,"February 10, 25",-0.0046971
2025-02-11,GOOGL,185.03,186.94,184.28,185.32,185.11,21239519,21239519,0.29,0.15673,185.3925,"February 11, 25",0.0015673
2025-02-12,GOOGL,183.22,185.11,181.83,183.61,183.4,22072600,22072600,0.39,0.21286,183.4425,"February 12, 25",0.0021286
2025-02-13,GOOGL,184.32,186.28,183.14,186.14,185.93,21402523,21402523,1.82,0.98741,184.97,"February 13, 25",0.0098741
